"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28"
"1",205,464,358,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",571,582,543,345,649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3",509,162,31,424,190,624,896,705,147,852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4",494,77,852,507,13,911,456,700,668,395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5",817,64,676,707,527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",555,370,190,833,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7",464,45,406,672,39,69,817,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8",257,137,456,719,713,632,840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9",701,84,785,827,579,107,186,94,524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10",701,84,785,827,579,107,186,94,524,717,606,320,456,266,104,179,566,684,370,252,705,832,0,0,0,0,0,0
"11",717,606,320,456,266,104,179,566,684,370,252,705,832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12",174,21,228,374,369,481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13",817,468,651,375,406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14",182,135,137,456,186,101,739,829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15",911,824,352,141,648,494,579,700,793,601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16",635,33,7,743,919,661,485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17",606,840,358,852,137,612,814,297,827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18",717,592,757,372,380,643,266,843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19",668,770,256,883,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20",512,524,821,719,716,13,653,809,389,937,722,200,220,654,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21",606,525,182,290,827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22",358,290,293,514,619,573,467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"23",386,551,831,185,391,490,433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"24",156,464,96,453,77,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
